id	width	height	ar	flags
ddf9a4c5-d638-41d9-b100-07e42209e9cb	4152	6484	0.6403	1
c8c4542f-446c-4af7-96df-495fc1590e60	5190	3216	1.6138	2
498b3ae3-825d-4ac6-baef-99febf1521fa	4282	2933	1.4599	2
7652fdfd-004f-4ae7-9cc8-cb3a76a2d38f	2479	3711	0.668	1
8c5fa817-3d09-469d-9847-2de125988587	2819	3985	0.7074	1
85d75e8b-da2e-460d-b54d-0747c684922c	2819	3985	0.7074	1
f5389dd0-c6b1-41b3-a1ad-1733a546962d	3019	5274	0.5724	1
ab2b82c8-6d4c-4e6b-bd00-d874419c1c07	4061	6499	0.6249	1
17afca71-9844-4b3d-9f02-3841f770c9b8	2132	2971	0.7176	1
874b3914-2113-44d9-828f-9e1f0f94a0ea	2746	4064	0.6757	1
c14f19e4-ade1-4f70-9d95-a3cea9158a3a	2127	3370	0.6312	1
8273ba21-d2aa-47ef-bbdb-0ed93cd8d8b2	4012	2908	1.3796	2
4831ab46-8cc7-43d2-be5a-5d2367d82228	4036	2987	1.3512	2
0afad6d4-6afd-454d-8908-b722a786cd99	4098	2750	1.4902	2
dfb46baa-dd6a-439a-96b3-b97316515921	3971	2931	1.3548	2
ef2321af-1ce7-4edd-86af-dbf7ace99e15	2880	4034	0.7139	1
79815af4-c7e7-4ad9-9780-121968d43cdb	2740	3831	0.7152	1
14accc51-e166-45e4-b41b-b08191343550	6458	4177	1.5461	2
cb5f4708-8650-44b5-9569-ae2057fcd2a3	6061	4100	1.4783	2
5890e0f8-d235-4972-8aae-84d1abaf28d0	4029	6661	0.6049	1
6dd9b440-7c6e-4020-a754-3ec7ae621964	3960	5837	0.6784	1
afe0c066-dc35-47ea-8424-cdec6a5364c2	4478	4656	0.9618	1
b253e13b-bc8f-4add-b76b-644773ffb0b8	4110	6495	0.6328	1
9bc445c9-3976-4f5b-a531-a3eaf1eed31e	3780	2550	1.4824	2
3a906718-04ee-4fdf-b18c-2f5740b2d71c	4060	6356	0.6388	1
fac71df1-8a1f-4ac2-afda-846ec5d2eae0	3196	5004	0.6387	1
5201bc73-a55a-439c-a113-7d30d2dd761f	4166	6547	0.6363	1
99f64ddd-b4e9-43ee-b1a6-5d644e90aef1	4167	6478	0.6433	1
42ca334b-d48b-4067-ba65-e0e7aca07e6a	630	495	1.2727	2
057743a7-601b-47d0-9cd0-dfe813df3162	630	495	1.2727	2
50ba21f4-677a-42e4-b1f4-ced83c85d264	4088	6458	0.633	1
065f0e58-2337-4fcc-973f-799a109bec4a	3182	5027	0.633	1
48ddd385-e7b9-452d-a781-704b4a4d42d0	2934	4088	0.7177	1
888326bd-f4c6-449a-9ff2-5caa71ed125a	2934	4088	0.7177	1
f5652869-cd70-48c6-bb10-7b470d8e64db	4011	5933	0.676	1
0479e813-e2f9-4a21-8726-25e79a68c5d8	4113	3293	1.249	2
b6c59233-111a-4a18-bd77-85cfa746fe85	3044	4029	0.7555	1
5744e968-360e-4433-8ac4-ccee834df548	4140	6548	0.6323	1
653ed947-91ed-4194-a856-dc40df9e23b2	3956	2987	1.3244	2
b455537a-89e7-4b8f-aebb-467cf93a75a1	3921	6407	0.612	1
73751093-c9a7-4eda-91d1-9f6190686d9c	3129	5113	0.612	1
866aa32c-e678-495d-8de4-03361446034b	6587	4131	1.5945	2
6ea90353-35ef-4354-a57b-f126865a6952	3044	4143	0.7347	1
bd9a5cfc-2c37-4c17-a268-5f80097659a9	3113	4235	0.7351	1
773719be-8685-4295-8851-7791220ff7e0	3022	5219	0.579	1
b29094f0-1712-48bc-a6b8-8506a0e14ce7	2976	4006	0.7429	1
b68ed497-46ae-4f6a-ba28-ec1953a63375	4139	2909	1.4228	2
ccc279c9-7e5d-4943-a06e-c64a070f32cc	2967	5333	0.5563	1
ae4d79c1-080f-41c4-9b2d-2a4e5b738a28	3136	5494	0.5708	1
9737c26d-6ed9-40f5-b9a1-727e515818fe	3895	6484	0.6007	1
a485de84-fa5a-4129-8cf8-0f3e553cbc1d	1746	1683	1.0374	2
9b75e418-f236-4471-a7f0-ad6ad4f1df6e	1781	1717	1.0373	2
eca62490-1bf7-426a-99e6-5fcd6c6f45fa	1737	1789	0.9709	1
6c0dd127-118d-4bb6-98ab-9514f0663931	2819	4036	0.6985	1
84cedbb3-0b5b-475f-bb16-b26c2f66a0aa	2652	3831	0.6922	1
ccb227a3-81d8-4d21-8a6a-a30e287cc062	2861	3914	0.731	1
db535f9a-8583-48a2-b8b2-8050f780a305	3228	4258	0.7581	1
d8381626-b418-4339-9bf0-983431bf164b	2793	4075	0.6854	1
ff8f15de-262e-4446-a690-bdbfdb0c12db	4097	2816	1.4549	2
57e0666a-e876-48b9-b62c-cef0755a3c0f	551	800	0.6887	1
3caf7365-2cf2-44d6-bac1-cc083583940c	5266	4177	1.2607	2
fe8cc16f-df60-449a-bbca-371fc328afe4	4359	5489	0.7941	1
